Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",1206,2,22uf,
"C10, C11, C2, C3, C6, C8, C9",1206,7,10uf,
C12,1206,1,0.01uf C0G,
C13,1206,1,1nf 2kv,
"C14, C15, C4, C7",1206,4,0.1uf,
"D1, D2",0805,2,LED,
"D3, D4",D_SMB_Handsoldering,2,SMBJ18CA,
"FB1, FB2",1206,2,BLM31PG601,
J1,SMA_Amphenol_132291-12_Vertical,1,Conn_Coaxial_Small,
J2,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
L1,BCIHP10SC,1,3.3uh,
R1,1206,1,78.7K,
"R10, R12, R13",1206,3,33,
"R11, R14",1206,2,1K,
"R2, R6",1206,2,10K,
R3,1206,1,1.8K,
R4,1206,1,46.4K,
R5,1206,1,300,
R7,POT_3296W,1,3296W-1-102LF,
R8,1206,1,1.5K,
R9,1206,1,600,
T1,LMNP1001B1L,1,LM-NP-1001-B1L,
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.0x2.0mm,4,TestPoint_Probe,
U1,TO-263-5_TabPin3,1,MIC29302WU,
U2,SOT-23-6,1,TPS563201,
U3,SOT230P700X180-4N,1,LDL1117S33R_,
U4,SOT95P280X145-5NOPA171,1,OPA171AIDBVR,
U5,SOT95P280X110-6N,1,DAC121S101CIMKX_NOPB,
