Designator,Mid X,Mid Y,Rotation,Layer
C1,49.0,-106.0,270.0,top
C10,26.0,-117.75,180.0,top
C11,67.0625,-109.75,0.0,top
C12,58.75,-111.5,180.0,top
C13,34.25,-99.0,90.0,top
C14,70.25,-113.5,270.0,top
C15,53.75,-118.0,90.0,top
C2,45.0,-122.25,180.0,top
C3,45.0,-119.0,180.0,top
C4,42.0,-133.0,270.0,top
C5,31.25,-126.5,0.0,top
C6,51.5,-134.5,270.0,top
C7,49.0,-134.5,270.0,top
C8,26.0,-123.5,180.0,top
C9,26.0,-120.5,180.0,top
D1,52.75,-105.5,90.0,top
D2,27.25,-111.0,270.0,top
D3,31.5,-93.5,0.0,top
D4,53.0,-126.25,270.0,top
FB1,49.0,-120.75,90.0,top
FB2,31.25,-123.5,0.0,top
J1,42.25,-94.0,0.0,top
J2,58.44,-134.27,270.0,top
L1,31.55,-141.9,180.0,top
R1,46.0,-100.0,180.0,top
R10,62.25,-127.5,90.0,top
R11,58.75,-114.0,0.0,top
R12,57.25,-127.5,90.0,top
R13,59.75,-127.5,90.0,top
R14,67.25,-123.5,180.0,top
R2,40.75,-100.0,180.0,top
R3,52.75,-110.0,270.0,top
R4,45.25,-128.0,0.0,top
R5,27.25,-105.75,90.0,top
R6,45.25,-125.5,180.0,top
R7,66.25,-119.25,180.0,top
R8,63.0,-113.5,90.0,top
R9,72.25,-109.75,0.0,top
T1,64.0,-98.75,90.0,top
U1,36.825,-107.475,180.0,top
U2,45.95,-131.85,270.0,top
U3,33.25,-118.25,0.0,top
U4,66.755,-112.8,0.0,top
U5,58.095,-117.8,0.0,top
