Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nf,
C10,0402,1,150pf,
"C11, C12, C13",1206,3,C,
"C14, C16, C18",1206,3,10uf,
"C15, C17, C19, C41",CP_Radial_D5.0mm_P2.00mm,4,100uf polymer,
"C2, C3",1206,2,22uf,
"C20, C21, C22, C23, C24, C25, C27, C28, C30, C31, C32",0603,11,10uf,
"C26, C29, C33",0603,3,4.7uf,
"C34, C39",1206,2,0.22uf,
"C35, C36, C37, C40",1206,4,0.1uf,
C38,0603,1,0.22uf C0G,
C4,0603,1,1uf,
C42,0603,1,0.01uf,
"C43, C45, C53, C57, C61, C65",1206,6,0.001uf C0G,
"C44, C49, C50, C51, C52, C55, C56, C59, C60, C63, C64",1206,11,0.1uf C0G,
"C46, C48",1206,2,390pf C0G,
C47,1206,1,820pf C0G,
C5,0402,1,82pf,
"C54, C58, C62, C66",1206,4,0.01uf,
C6,0402,1,5.1pf,
"C7, C8",1206,2,39uf,
C9,0402,1,33nf,
D1,D_SMB_Handsoldering,1,SMBJ18A,
D2,D_SOD-523,1,"BAS516,115",
D3,0805,1,LED,
"D4, D5, D6",D_SMB_Handsoldering,3,D_Schottky,
"FB1, FB2, FB3",1206,3,BLM31PG601,
FB4,0603,1,BLM18HE152SN1D,
J1,PinHeader_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,
"J2, J3, J4, J5",SMA_Amphenol_132291-12_Vertical,4,Conn_Coaxial_Small,
L1,HP6-0090L,1,HP6-0090L,
"L2, L3, L4, L5",IND_VLS3015CX-1R0M-1,4,VLS3015CX-1R0M-1,
"Q1, Q2",TO-252-2,2,GSFD0650,
"R1, R2, R3",1206,3,33,
R10,0402,1,50K,
"R11, R15, R16, R17, R8",1206,5,R,
R12,1206,1,10mohm,
R13,1206,1,10K,
R14,0402,1,11.5K,
R18,0603,1,49.9K low tc,
R19,0603,1,16.7K low tc,
R20,0603,1,111K low tc,
R21,0805,1,1K 0.01% 5ppm,
R22,0805,1,10K 0.01% 5ppm,
R23,1206,1,100,
"R24, R26",1206,2,47K,
R25,1206,1,1K,
R27,1206,1,2.7K,
"R28, R32, R33, R34, R35, R36, R37, R38, R39",1206,9,49.9,
"R29, R31",1206,2,560,
R30,1206,1,220,
R4,0402,1,1M,
R5,0402,1,15.4K,
R6,0402,1,2.26K,
R7,0402,1,25K,
R9,0402,1,210K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,2.5K,
"T1, T2, T3, T4",DIP762W64P254L826H572Q6N,4,WB1-1L,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_2.0x2.0mm,10,TestPoint_Probe,
U1,SOP65P640X110-21N,1,LM25116MHX_NOPB,
"U10, U11, U12, U13, U14",SOT95P290X145-5N,5,AD8055ARTZ-R2,AD8055ARTZ-R2
"U2, U3, U4, U5, U6",MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm,5,LT3045xMSE,
U7,SOP50P490X110-10N,1,DAC8563SDGSR,
U8,QSOP-16_3.9x4.9mm_P0.635mm,1,Si8641BA-B-IU,
U9,SOT95P280X145-5N,1,OPA192IDBVR,
X1,CTI-OSC-25x25,1,OSC5A2B02,
