Designator,Mid X,Mid Y,Rotation,Layer
C1,137.9,-119.8,90.0,top
C10,134.1,-107.8,90.0,top
C14,173.755112,-78.955112,90.0,top
C15,169.555112,-79.0,90.0,top
C16,139.0,-83.4375,90.0,top
C17,134.6,-83.392612,90.0,top
C18,139.0,-92.75,270.0,top
C19,134.6,-92.55,270.0,top
C2,137.7,-105.4,180.0,top
C20,96.2,-29.4,270.0,top
C21,96.0,-66.8,270.0,top
C22,91.035,-53.71,0.0,top
C23,91.035,-50.31,0.0,top
C24,81.4,-62.0625,90.0,top
C25,84.8,-62.0,90.0,top
C26,97.0,-71.0,0.0,top
C27,96.2,-37.8,270.0,top
C28,96.2,-46.4,270.0,top
C29,97.4,-41.8,0.0,top
C3,137.7,-103.0,180.0,top
C30,151.0,-67.4,0.0,top
C31,159.2,-72.8,90.0,top
C32,155.8,-72.8,90.0,top
C33,155.6,-68.4,0.0,top
C34,102.3,-101.44,90.0,top
C35,111.4,-70.4,180.0,top
C36,130.6,-64.8,0.0,top
C37,92.7,-100.44,270.0,top
C38,112.2,-72.4,180.0,top
C39,122.8,-73.8,180.0,top
C4,134.9,-121.4,180.0,top
C40,109.2,-31.8,0.0,top
C41,109.0,-27.6,0.0,top
C42,109.8,-62.8,90.0,top
C43,138.8,-66.0,0.0,top
C44,148.0,-62.4,270.0,top
C45,150.4,-62.4,270.0,top
C46,164.6,-69.5625,270.0,top
C47,172.4,-69.6,270.0,top
C48,179.8,-69.8,270.0,top
C49,187.6,-71.8,270.0,top
C5,129.5,-109.8,90.0,top
C50,144.2,-65.2,0.0,top
C51,154.495833,-45.9975,180.0,top
C52,159.733333,-38.81,0.0,top
C53,159.733333,-41.21,0.0,top
C54,163.333333,-30.21,90.0,top
C55,174.629166,-45.9975,180.0,top
C56,179.866666,-41.21,0.0,top
C57,179.866666,-38.81,0.0,top
C58,183.466666,-30.21,90.0,top
C59,194.7625,-45.9975,180.0,top
C6,130.5,-108.8,90.0,top
C60,200.0,-38.81,0.0,top
C61,200.0,-41.21,0.0,top
C62,203.6,-30.21,90.0,top
C63,214.895833,-45.9975,180.0,top
C64,220.133333,-38.81,0.0,top
C65,220.133333,-41.21,0.0,top
C66,223.733333,-30.21,90.0,top
C7,190.2,-92.6,0.0,top
C8,190.2,-90.2,0.0,top
C9,132.9,-109.6,0.0,top
D1,77.8,-94.0,180.0,top
D2,135.1,-119.8,180.0,top
D3,198.2,-112.625,90.0,top
D4,181.0,-78.0,0.0,top
D5,147.4,-81.4375,0.0,top
D6,147.3,-91.35,0.0,top
FB1,88.035,-52.11,90.0,top
FB2,83.0,-65.6,0.0,top
FB3,157.6,-76.0,180.0,top
FB4,100.1,-102.315,270.0,top
J1,77.23,-105.63,180.0,top
J2,157.393333,-18.35,0.0,top
J3,177.526666,-18.35,0.0,top
J4,197.66,-18.35,0.0,top
J5,217.793333,-18.35,0.0,top
L1,175.375,-105.475,270.0,top
L2,160.45,-65.4,0.0,top
L3,168.233333,-65.4,90.0,top
L4,176.016667,-65.4,0.0,top
L5,183.8,-65.4,90.0,top
Q1,143.775,-109.985,90.0,top
Q2,143.6725,-121.56,90.0,top
R1,84.1,-106.64,0.0,top
R10,132.3,-107.2,0.0,top
R12,132.9,-123.4,0.0,top
R13,130.7,-121.0,0.0,top
R14,132.3,-108.2,180.0,top
R18,97.0,-69.4,0.0,top
R19,97.4,-43.4,0.0,top
R2,84.1,-104.24,0.0,top
R20,155.6,-70.0,0.0,top
R21,123.2,-71.6,0.0,top
R22,123.2,-69.6,0.0,top
R23,126.4,-63.0,90.0,top
R24,142.0,-68.78,0.0,top
R25,138.8,-63.3938,0.0,top
R26,142.0,-71.2,180.0,top
R27,156.2,-62.4,270.0,top
R28,187.6,-66.2,90.0,top
R29,146.4,-58.4,0.0,top
R3,84.1,-101.84,0.0,top
R30,152.6,-57.4,180.0,top
R31,144.2,-62.6,180.0,top
R32,159.933333,-50.41,90.0,top
R33,154.495833,-43.1975,0.0,top
R34,180.066666,-50.41,90.0,top
R35,174.629166,-43.1975,0.0,top
R36,200.2,-50.41,90.0,top
R37,194.7625,-43.1975,0.0,top
R38,220.333333,-50.41,90.0,top
R39,214.895833,-43.1975,0.0,top
R4,135.1,-107.8,90.0,top
R5,137.1,-107.8,90.0,top
R6,138.1,-107.8,270.0,top
R7,136.1,-107.8,270.0,top
R8,190.2,-97.6,0.0,top
R9,129.5,-107.4,270.0,top
RV1,148.4,-52.6,180.0,top
U1,133.375,-114.885,270.0,top
U10,153.25,-61.9938,90.0,top
U11,158.895833,-44.7975,90.0,top
U12,179.029166,-44.7975,90.0,top
U13,199.1625,-44.7975,90.0,top
U14,219.295833,-44.7975,90.0,top
U2,91.785,-29.635,270.0,top
U3,91.65,-67.175,270.0,top
U4,91.785,-38.16,270.0,top
U5,91.785,-46.685,270.0,top
U6,151.29,-71.585,0.0,top
U7,117.4,-70.0,180.0,top
U8,95.5,-105.84,0.0,top
U9,127.6,-68.0,0.0,top
X1,116.925,-46.725,90.0,top
