Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,100uf polymer,
C10,0603,1,27nf,
C11,0603,1,1uf,
C2,1206,1,220pf C0G 100v,
"C3, C5",0603,2,0.1uf,
"C4, C7, C8",0603,3,10uf,
C6,0603,1,Ca,
C9,0603,1,Cb,
D1,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,1,LED,
D2,D_SMA_Handsoldering,1,SK34SMA-3G,
D3,D_SMA_Handsoldering,1,D_Schottky,
J1,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
L1,DRQ127,1,DRQ127-220-R,
R1,1206,1,22,
R2,0603,1,Ron,
R3,1206,1,RLED,
R4,0603,1,Ruvtop,
R5,0603,1,Rfbtop,
R6,0603,1,Ra,
R7,0603,1,Ruvbot,
R8,0603,1,Rfbbot,
TP1,TestPoint_Pad_2.0x2.0mm,1,TestPoint_Probe,
U1,Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias,1,LM5161PWP,
