Designator,Mid X,Mid Y,Rotation,Layer
C1,92.0,-81.0,270.0,top
C10,94.2,-91.4625,270.0,top
C11,106.5375,-88.6,0.0,top
C2,102.0,-78.0,0.0,top
C3,104.0,-86.8,270.0,top
C4,90.6,-86.2625,90.0,top
C5,92.2,-86.2625,90.0,top
C6,119.4,-76.8,270.0,top
C7,116.4,-72.6,0.0,top
C8,112.4,-71.8,180.0,top
C9,106.5375,-90.2,180.0,top
D1,88.0,-76.835,180.0,top
D2,99.0,-75.0,0.0,top
D3,100.0,-94.0,0.0,top
J1,97.46,-98.0,270.0,top
L1,111.5014,-80.0216,90.0,top
R1,97.0,-78.0,0.0,top
R2,94.2,-88.0,270.0,top
R3,94.0,-72.0,0.0,top
R4,91.4,-88.8,0.0,top
R5,106.5375,-91.8,180.0,top
R6,119.4,-80.4,90.0,top
R7,91.4,-90.4,180.0,top
R8,106.5375,-93.4,0.0,top
U1,98.9,-88.1,0.0,top
