Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",1206,3,10uf,
"C2, C6",1206,2,220nf,
"C3, C7",1206,2,0.1uf,
"D1, D2, D3, D4, D5, D7",0805,6,LED,
"D6, D8",D_SMB_Handsoldering,2,SMBJ18CA,
F1,FUSE_RUEF500_LTF,1,RUEF500,
F2,FUS_RUEF250_TYCO_TYC,1,RUEF250,
J1,PinSocket_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
J10,CONN_CU01SAH0S00_CVI,1,CU01SAH0S00,
J2,PinSocket_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,
J3,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J4,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J5,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
J8,CUI_PJ-037A,1,PJ-037A,
J9,CONN_1758050,1,1758050,
MOD1,Adafruit Ultimate GPS Breakout v3,1,~,
MOD2,RCB-F9T-0,1,Conn_02x04_Odd_Even,
Q1,TRANS_IRLML6344TRPBF,1,IRLML6344TRPBF,
"Q2, Q3",PowerPAK_SO-8L-2_DUAL_VIS,2,SQJ746ELP-T1_GE3,
"R1, R2, R3",1206,3,240,
"R10, R15, R16, R9",1206,4,10K,
"R11, R4",1206,2,560,
R12,1206,1,3.3K,
R13,1206,1,24.3K,
R14,1206,1,36.5K,
R5,1206,1,100K,
R6,1206,1,2K,
R7,1206,1,75K,
R8,1206,1,107K,
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.0x2.0mm,4,TestPoint_Probe,
"U1, U3",SOT65P280X110-8N,2,AP74502QTA8-7,
U2,SOT95P280X82-6N,1,AP22654WU-7,
