Designator,Mid X,Mid Y,Rotation,Layer
C1,73.0,-51.4,180.0,top
C2,105.0,-105.8,90.0,top
C3,102.6,-105.8,90.0,top
C4,103.0,-129.8,180.0,top
C5,106.0,-137.8,0.0,top
C6,105.0,-85.0,90.0,top
C7,102.6,-85.0,90.0,top
D1,68.4,-58.2,90.0,top
D2,71.505,-58.2,90.0,top
D3,74.545,-58.355,90.0,top
D4,95.4,-58.8,90.0,top
D5,65.2,-46.375,90.0,top
D6,117.0,-110.0,180.0,top
D7,97.0,-132.0,90.0,top
D8,113.0,-93.0,270.0,top
F1,119.0,-115.0,180.0,top
F2,117.4,-93.0,270.0,top
J1,120.04,-46.355,270.0,top
J10,108.0,-142.57725,0.0,top
J2,122.73,-128.65,180.0,top
J3,88.06,-43.4,90.0,top
J4,53.53,-75.73,0.0,top
J5,59.2,-92.38,0.0,top
J6,91.0,-59.07,0.0,top
J7,63.1,-63.0,270.0,top
J8,74.0,-44.0625,90.0,top
J9,125.0,-89.38,90.0,top
MOD1,77.56,-106.4135,180.0,top
MOD2,78.0,-104.43,90.0,top
Q1,85.715,-60.4,0.0,top
Q2,107.095,-113.6068,180.0,top
Q3,107.0,-92.5937,180.0,top
R1,68.4,-63.4,270.0,top
R10,114.8,-103.8,0.0,top
R11,97.0,-136.6,270.0,top
R12,108.2,-129.8,0.0,top
R13,111.2,-85.4,90.0,top
R14,115.0,-85.6,180.0,top
R15,111.2,-80.2,90.0,top
R16,115.0,-83.2,0.0,top
R2,71.6,-63.4,270.0,top
R3,74.6,-63.4,270.0,top
R4,95.4,-63.6,270.0,top
R5,81.6,-61.0,270.0,top
R6,65.2,-51.0,270.0,top
R7,111.0,-106.2,90.0,top
R8,114.8,-106.4,180.0,top
R9,111.0,-101.2,90.0,top
U1,108.025,-105.75,270.0,top
U2,105.45,-134.4,90.0,top
U3,108.0,-85.0,270.0,top
