Designator,Mid X,Mid Y,Rotation,Layer
C1,115.4,-98.0625,270.0,top
C2,115.4,-94.5375,90.0,top
C3,116.0,-86.8,270.0,top
C4,118.2,-82.4,180.0,top
D1,122.47,-83.2,180.0,top
FB1,117.6,-95.8,90.0,top
FID1,114.554,-78.486,0.0,top
FID2,127.762,-91.694,0.0,top
FID3,114.554,-101.854,0.0,top
J2,121.92,-100.33,270.0,bottom
R1,125.8,-83.4,270.0,top
R2,119.8,-93.2,90.0,top
R3,127.4,-80.0,90.0,top
R4,121.4,-93.2,270.0,top
R5,123.0,-93.2,270.0,top
R6,125.8,-80.0,90.0,top
R7,118.2,-84.0,180.0,top
U1,119.29,-88.185,0.0,top
