Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",1206,2,0.22uf,
"C10, C14, C9",1206,3,10uf,
C17,0603,1,0.01uf,
"C2, C5, C7, C8",1206,4,0.1uf,
C3,0603,1,0.22uf C0G,
C6,CP_Radial_D5.0mm_P2.00mm,1,100uf polymer,
D1,0805,1,LED,
FB1,0603,1,BLM18HE152SN1D,
FB2,1206,1,BLM31PG601,
J1,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J2,lownoise-LDO,1,lownoise-LDO,
R1,0603,1,1K 0.1% 10ppm,
R2,0603,1,10K 0.1% 10ppm,
R3,1206,1,100,
R6,1206,1,560,
TP2,TestPoint_Pad_2.0x2.0mm,1,TestPoint_Probe,
U1,SOP50P490X110-10N,1,DAC8563SDGSR,
U2,QSOP-16_3.9x4.9mm_P0.635mm,1,Si8641BA-B-IU,
U3,SOT95P280X145-5N,1,OPA192IDBVR,
U6,SOT230P700X180-4N,1,LDL1117S50R_,
X1,CTI-OSC-25x25,1,OSC5A2B02,
