Designator,Mid X,Mid Y,Rotation,Layer
C1,48.6,-63.6,180.0,top
C10,55.4,-58.4,270.0,top
C14,47.75,-41.91,180.0,top
C17,77.95,-80.14,270.0,top
C2,37.0,-62.0,90.0,top
C3,73.42,-80.14,90.0,top
C4,82.8,-87.2,270.0,top
C5,76.85,-47.33,0.0,top
C6,76.8,-43.0,0.0,top
C7,75.54,-80.98,90.0,top
C8,85.8,-79.8,180.0,top
C9,47.2,-58.4,270.0,top
D1,71.2,-46.025,270.0,top
FB1,53.2,-63.8,180.0,top
FB2,51.4,-57.0,0.0,top
J1,40.0,-69.23,0.0,bottom
J2,54.97,-92.635,270.0,top
R1,79.8875,-83.8,0.0,top
R2,79.8875,-85.4,0.0,top
R3,92.6,-81.8,0.0,top
R6,71.2,-41.2,90.0,top
U1,68.8,-82.2,0.0,top
U2,49.8,-67.6,0.0,top
U3,85.855,-82.8,0.0,top
U6,49.39,-48.0475,90.0,top
X1,84.8,-63.8,90.0,top
