Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",CP_Radial_D5.0mm_P2.00mm,2,100uf polymer,
"C10, C20",0603,2,1uf,
"C12, C18, C2, C8",0603,4,0.1uf,
"C13, C16, C17, C21, C25, C3, C6, C7",1206,8,10uf,
"C14, C22, C23, C26, C27, C4",1206,6,0.1uf,
"C15, C5",0603,2,3.3nf,
"C19, C9",0603,2,27nf,
"C24, C28",1206,2,22uf,
"D1, D4",D_SMA-SMB_Universal_Handsoldering,2,SK34SMA-3G,
"D2, D3, D5, D6, D7",0805,5,LED,
J1,PHOENIX_1758018,1,1758018,
J2,PHOENIX_1803426,1,1803426,
J3,CONN_1803455,1,1803442,
J4,PHOENIX_1803439,1,1803439,
L1,DRQ127,1,DRQ127-220-R,
L2,DRQ127,1,DRQ127-100-R,
"L3, L4",BCIHP10SC,2,3.3uh,
Q1,SOIC127P600X175-8N,1,SI4491EDY-T1-GE3,
"R1, R19, R22",1206,3,10K,
R10,0603,1,215K,
"R11, R18, R21",1206,3,787,
"R12, R4",0603,2,75K,
R13,0805,1,43.2K,
"R14, R6",0603,2,180K,
"R15, R7, R8",0603,3,10K,
R16,0805,1,10K,
"R17, R20",1206,2,68.4K,
R2,0603,1,316K,
R3,1206,1,1.37K,
R5,0603,1,68.1K,
R9,1206,1,2K,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_2.0x2.0mm,9,TestPoint_Probe,
"U1, U2",Texas_HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3.155x3.255mm_ThermalVias,2,LM5161PWP,
"U3, U4",SOT-23-6,2,TPS563201,
Z1,SOT95P237X125-3N,1,BZX84C15-TP,
