Designator,Mid X,Mid Y,Rotation,Layer
C1,103.6784,-20.143488,270.0,top
C10,77.0284,-31.3986,0.0,top
C11,103.4,-48.0,270.0,top
C12,76.7784,-57.0986,180.0,top
C13,59.3784,-53.1361,90.0,top
C14,61.9784,-53.0986,90.0,top
C15,86.9784,-57.0986,180.0,top
C16,92.3784,-51.0986,0.0,top
C17,92.3784,-53.8986,0.0,top
C18,76.7784,-60.2986,180.0,top
C19,64.0784,-60.0986,270.0,top
C2,77.0284,-29.8486,180.0,top
C20,76.7784,-58.6986,0.0,top
C21,26.9,-35.8,90.0,top
C22,24.3,-35.8,90.0,top
C23,18.0,-36.0,270.0,top
C24,35.1,-44.8,90.0,top
C25,110.7,-59.0,90.0,top
C26,108.2,-59.0625,90.0,top
C27,102.2,-59.0,270.0,top
C28,118.2,-68.0625,90.0,top
C3,58.5784,-26.2986,90.0,top
C4,61.0784,-26.2986,90.0,top
C5,87.1784,-29.7986,180.0,top
C6,92.5784,-23.7986,0.0,top
C7,92.5784,-26.3986,0.0,top
C8,77.0284,-32.9986,180.0,top
C9,64.0784,-32.9986,270.0,top
D1,94.7784,-19.4986,180.0,top
D2,94.7,-31.0,180.0,top
D3,62.395,-19.5,0.0,top
D4,94.7,-47.1,180.0,top
D5,95.005,-39.515,180.0,top
D6,44.8,-61.1,0.0,top
D7,94.7,-35.0,180.0,top
J1,36.8184,-25.0986,0.0,top
J2,51.0875,-37.625,0.0,top
J3,128.2,-42.62,270.0,top
J4,41.6,-48.01,270.0,top
L1,81.8784,-22.2986,0.0,top
L2,81.6784,-49.4986,0.0,top
L3,24.75,-37.9,0.0,top
L4,108.15,-61.2,0.0,top
Q1,34.2784,-35.0986,90.0,top
R1,38.2784,-35.0986,90.0,top
R10,64.0784,-56.5986,270.0,top
R11,100.025,-39.5,0.0,top
R12,61.4784,-56.5986,0.0,top
R13,76.9784,-62.0986,180.0,top
R14,83.4784,-57.0986,0.0,top
R15,61.4909,-58.2986,180.0,top
R16,76.0784,-65.0986,270.0,top
R17,29.6,-37.8,90.0,top
R18,39.75,-61.0,180.0,top
R19,29.6,-32.6,90.0,top
R2,64.0784,-29.5986,270.0,top
R20,113.2,-61.05,90.0,top
R21,100.025,-35.0,0.0,top
R22,113.2,-55.5,90.0,top
R3,100.025,-31.1,0.0,top
R4,61.5784,-29.6986,0.0,top
R5,77.0284,-34.5986,180.0,top
R6,83.6784,-29.7986,0.0,top
R7,61.5784,-31.2986,180.0,top
R8,76.1084,-37.0986,270.0,top
R9,57.0,-19.5,180.0,top
U1,69.1784,-30.2986,0.0,top
U2,69.1784,-57.4986,0.0,top
U3,21.15,-35.8,270.0,top
U4,105.15,-59.1375,270.0,top
Z1,41.2784,-35.0986,90.0,top
